Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre
1964,37,Best Picture,0,Mary Poppins ,"Walt Disney and Bill Walsh, Producers",102272727,6000000,139,7.5,2024,11.267,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
1964,37,Best Picture,1,My Fair Lady ,"Jack L. Warner, Producer",72070731,17000000,170,7.7,540,6.753,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1964,37,Best Picture,0,Zorba the Greek ,"Michael Cacoyannis, Producer",0,783000,142,7.4,104,8.833,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"
1965,38,Best Picture,0,Darling ,"Joseph Janni, Producer",0,0,128,6.7,41,5.397,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1965,38,Best Picture,0,Doctor Zhivago ,"Carlo Ponti, Producer",111858363,11000000,200,7.6,402,7.268,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
1965,38,Best Picture,0,Ship of Fools ,"Stanley Kramer, Producer",0,0,149,6.2,24,2.262,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]"
1965,38,Best Picture,1,The Sound of Music ,"Robert Wise, Producer",286214286,8200000,174,7.6,1452,15.289,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
1965,38,Best Picture,0,A Thousand Clowns ,"Fred Coe, Producer",0,0,118,7.4,11,0.6,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1966,39,Best Picture,0,Alfie ,"Lewis Gilbert, Producer",0,0,114,6.7,90,5.519,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1966,39,Best Picture,1,A Man for All Seasons ,"Fred Zinnemann, Producer",28350000,3900000,120,7.6,135,5.853,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1966,39,Best Picture,0,The Russians Are Coming The Russians Are Coming ,"Norman Jewison, Producer",0,0,126,6.3,38,2.511,"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]"
1966,39,Best Picture,0,The Sand Pebbles ,"Robert Wise, Producer",20000000,12000000,182,7.3,95,6.16,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]"
1966,39,Best Picture,0,Who's Afraid of Virginia Woolf? ,"Ernest Lehman, Producer",33736689,7500000,131,8,298,5.968,"[{'id': 18, 'name': 'Drama'}]"
1967,40,Best Picture,0,Bonnie and Clyde ,"Warren Beatty, Producer",50700000,2500000,111,7.6,574,7.693,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
1967,40,Best Picture,0,Doctor Dolittle ,"Arthur P. Jacobs, Producer",9000000,18000000,152,6,63,4.737,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]"
1967,40,Best Picture,0,The Graduate ,"Lawrence Turman, Producer",104945305,3000000,106,7.7,1309,14.266,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1967,40,Best Picture,0,Guess Who's Coming to Dinner ,"Stanley Kramer, Producer",56666667,4000000,108,7.7,276,6.465,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1967,40,Best Picture,1,In the Heat of the Night ,"Walter Mirisch, Producer",27379978,2000000,109,7.7,337,6.858,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1968,41,Best Picture,0,Funny Girl ,"Ray Stark, Producer",52223306,14000000,149,7.1,136,6.201,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1968,41,Best Picture,0,The Lion in Winter ,"Martin Poll, Producer",0,0,134,7.6,122,6.796,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1968,41,Best Picture,1,Oliver! ,"John Woolf, Producer",37402877,10000000,153,7.1,157,6.398,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]"
1968,41,Best Picture,0,"Rachel, Rachel ","Paul Newman, Producer",0,0,101,6.6,20,1.067,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1968,41,Best Picture,0,Romeo and Juliet ,"Anthony Havelock-Allan and John Brabourne, Producers",38901218,0,138,7.4,240,11.005,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1969,42,Best Picture,0,Anne of the Thousand Days ,"Hal B. Wallis, Producer",0,0,145,7.1,42,3.716,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
1969,42,Best Picture,0,Butch Cassidy and the Sundance Kid ,"John Foreman, Producer",102308889,6000000,111,7.6,907,10.261,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}, {'id': 35, 'name': 'Comedy'}]"
1969,42,Best Picture,0,"Hello, Dolly! ","Ernest Lehman, Producer",33208099,24000000,146,7,90,5.6,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
1969,42,Best Picture,1,Midnight Cowboy ,"Jerome Hellman, Producer",44785053,3600000,113,7.6,475,11.285,"[{'id': 18, 'name': 'Drama'}]"
1969,42,Best Picture,0,Z ,"Jacques Perrin and Hamed Rachedi, Producers",83305,0,127,8.1,144,8.359,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]"
1970,43,Best Picture,0,Airport ,"Ross Hunter, Producer",100489151,10000000,137,6.4,136,5.309,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
1970,43,Best Picture,0,Five Easy Pieces ,"Bob Rafelson and Richard Wechsler, Producers",0,0,98,7.3,176,5.169,"[{'id': 18, 'name': 'Drama'}]"
1970,43,Best Picture,0,Love Story ,"Howard G. Minsky, Producer",136400000,2200000,99,6.6,213,6.134,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1970,43,Best Picture,1,MASH,"Ingo Preminger, Producer",81600000,3500000,116,7,351,7.591,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
1970,43,Best Picture,1,Patton ,"Frank McCarthy, Producer",89800000,12000000,172,7.4,459,8.536,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
1971,44,Best Picture,0,A Clockwork Orange ,"Stanley Kubrick, Producer",26589000,2200000,136,8.2,5663,13.059,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]"
1971,44,Best Picture,0,Fiddler on the Roof ,"Norman Jewison, Producer",83304330,9000000,181,7.8,187,9.112,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1971,44,Best Picture,1,The French Connection ,"Philip D'Antoni, Producer",41158757,1800000,104,7.5,651,8.908,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
1971,44,Best Picture,0,The Last Picture Show ,"Stephen J. Friedman, Producer",29133000,1300000,119,7.8,212,6.064,"[{'id': 18, 'name': 'Drama'}]"
1971,44,Best Picture,0,Nicholas and Alexandra ,"Sam Spiegel, Producer",0,0,189,7.3,23,3.912,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
1972,45,Best Picture,0,Cabaret ,"Cy Feuer, Producer",0,6000000,124,7.5,336,7.028,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]"
1972,45,Best Picture,0,Deliverance ,"John Boorman, Producer",46122355,2000000,109,7.3,636,7.596,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
1972,45,Best Picture,0,The Emigrants ,"Bengt Forslund, Producer",0,0,191,7,36,5.317,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"
1972,45,Best Picture,1,The Godfather ,"Albert S. Ruddy, Producer",245066411,6000000,175,8.6,8764,28.931,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
1972,45,Best Picture,0,Sounder ,"Robert B. Radnitz, Producer",0,0,105,7.3,13,1.4,"[{'id': 18, 'name': 'Drama'}]"
1973,46,Best Picture,0,American Graffiti ,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer",140000000,777000,110,7.1,537,9.031,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1973,46,Best Picture,0,Cries and Whispers ,"Ingmar Bergman, Producer",2500000,927262,107,8.2,640,10.652,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1973,46,Best Picture,0,The Exorcist ,"William Peter Blatty, Producer",441306145,8000000,122,7.6,3309,22.477,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
1973,46,Best Picture,1,The Sting ,"Tony Bill, Michael Phillips and Julia Phillips, Producers",159616327,5500000,129,8,970,13.329,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
1973,46,Best Picture,0,A Touch of Class ,"Melvin Frank, Producer",0,0,106,6.4,19,1.584,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
1974,47,Best Picture,0,Chinatown ,"Robert Evans, Producer",30000000,6000000,130,7.9,1474,8.293,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1974,47,Best Picture,0,The Conversation ,"Francis Ford Coppola, Producer; Fred Roos, Co-Producer",4420000,1600000,113,7.6,544,7.58,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
1974,47,Best Picture,1,The Godfather Part II ,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",102600000,13000000,200,8.5,5094,20.282,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
1974,47,Best Picture,0,Lenny ,"Marvin Worth, Producer",0,0,111,7.4,70,4.771,"[{'id': 18, 'name': 'Drama'}]"
1974,47,Best Picture,0,The Towering Inferno ,"Irwin Allen, Producer",116000000,14000000,159,7.1,344,7.935,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
1975,48,Best Picture,0,Barry Lyndon ,"Stanley Kubrick, Producer",20000000,11000000,184,7.9,936,8.646,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
1975,48,Best Picture,0,Dog Day Afternoon ,"Martin Bregman and Martin Elfand, Producers",46665856,1800000,125,7.8,1055,10.356,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
1975,48,Best Picture,0,Jaws ,"Richard D. Zanuck and David Brown, Producers",470700000,7000000,124,7.6,4198,16.425,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]"
1975,48,Best Picture,0,Nashville ,"Robert Altman, Producer",0,2200000,160,7.4,127,7.269,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]"
1975,48,Best Picture,1,One Flew over the Cuckoo's Nest ,"Saul Zaentz and Michael Douglas, Producers",108981275,3000000,133,8.4,4739,22.294,"[{'id': 18, 'name': 'Drama'}]"
1976,49,Best Picture,0,All the President's Men ,"Walter Coblenz, Producer",70600000,8500000,138,7.7,643,21.183,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1976,49,Best Picture,0,Bound for Glory ,"Robert F. Blumofe and Harold Leventhal, Producers",0,0,147,7.3,24,3.951,"[{'id': 10402, 'name': 'Music'}]"
1976,49,Best Picture,0,Network ,"Howard Gottfried, Producer",23689877,3800000,122,8,604,8.417,"[{'id': 18, 'name': 'Drama'}]"
1976,49,Best Picture,1,Rocky ,"Irwin Winkler and Robert Chartoff, Producers",117235147,1000000,119,7.6,3080,26.239,"[{'id': 18, 'name': 'Drama'}]"
1976,49,Best Picture,0,Taxi Driver ,"Michael Phillips and Julia Phillips, Producers",28262574,1300000,114,8.1,4379,18.243,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
1977,50,Best Picture,1,Annie Hall ,"Charles H. Joffe, Producer",38251425,4000000,93,7.8,1675,9.136,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1977,50,Best Picture,0,The Goodbye Girl ,"Ray Stark, Producer",102000000,0,111,7.1,51,3.972,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
1977,50,Best Picture,0,Julia ,"Richard Roth, Producer",0,0,117,6.9,43,4.834,"[{'id': 18, 'name': 'Drama'}]"
1977,50,Best Picture,0,Star Wars ,"Gary Kurtz, Producer",775398007,11000000,121,8.2,10129,34.509,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
1977,50,Best Picture,0,The Turning Point ,"Herbert Ross and Arthur Laurents, Producers",0,0,119,6.4,21,1.816,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1978,51,Best Picture,0,Coming Home ,"Jerome Hellman, Producer",0,3000000,127,7.2,62,4.435,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
1978,51,Best Picture,1,The Deer Hunter ,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",50000000,15000000,183,8,1495,9.268,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
1978,51,Best Picture,0,Heaven Can Wait ,"Warren Beatty, Producer",0,0,101,6.5,133,6.336,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]"
1978,51,Best Picture,0,Midnight Express ,"Alan Marshall and David Puttnam, Producers",35000000,2300000,121,7.7,528,7.315,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
1978,51,Best Picture,0,An Unmarried Woman ,"Paul Mazursky and Tony Ray, Producers",24000000,2515000,124,6.7,21,1.365,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
1979,52,Best Picture,0,All That Jazz ,"Robert Alan Aurthur, Producer",37823676,0,123,7.3,133,7.024,"[{'id': 18, 'name': 'Drama'}]"
1979,52,Best Picture,0,Apocalypse Now ,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",89460381,31500000,147,8.2,3341,21.533,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
1979,52,Best Picture,0,Breaking Away ,"Peter Yates, Producer",20000000,2300000,100,7.4,97,5.693,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
1979,52,Best Picture,1,Kramer vs. Kramer ,"Stanley R. Jaffe, Producer",106260000,8000000,105,7.5,807,8.914,"[{'id': 18, 'name': 'Drama'}]"
1979,52,Best Picture,0,Norma Rae ,"Tamara Asseyev and Alex Rose, Producers",22228000,0,110,7.2,51,4.116,"[{'id': 18, 'name': 'Drama'}]"
1980,53,Best Picture,0,Coal Miner's Daughter ,"Bernard Schwartz, Producer",67182787,15000000,125,7.1,97,6.905,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"
1980,53,Best Picture,0,The Elephant Man ,"Jonathan Sanger, Producer",26010864,5000000,124,8,1235,7.456,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1980,53,Best Picture,1,Ordinary People ,"Ronald L. Schwary, Producer",0,6000000,124,7.5,208,7.467,"[{'id': 18, 'name': 'Drama'}]"
1980,53,Best Picture,0,Raging Bull ,"Irwin Winkler and Robert Chartoff, Producers",23000000,18000000,129,7.9,1560,10.646,"[{'id': 18, 'name': 'Drama'}]"
1980,53,Best Picture,0,Tess ,"Claude Berri, Producer; Timothy Burrill, Co-Producer",0,0,171,6.8,107,9.59,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1981,54,Best Picture,0,Atlantic City ,"Denis Heroux and John Kemeny, Producers",12729675,7200000,104,6.9,75,4.656,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1981,54,Best Picture,1,Chariots of Fire ,"David Puttnam, Producer",58972904,5500000,123,6.9,319,7.401,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1981,54,Best Picture,0,On Golden Pond ,"Bruce Gilbert, Producer",19255967,0,109,7.5,158,6.919,"[{'id': 18, 'name': 'Drama'}]"
1981,54,Best Picture,0,Raiders of the Lost Ark ,"Frank Marshall, Producer",389925971,18000000,115,7.8,5762,25.906,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]"
1981,54,Best Picture,0,Reds ,"Warren Beatty, Producer",40382659,32000000,195,7.2,110,6.332,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1982,55,Best Picture,0,E.T. The Extra-Terrestrial ,"Steven Spielberg and Kathleen Kennedy, Producers",792965326,10500000,115,7.4,5477,16.032,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
1982,55,Best Picture,1,Gandhi ,"Richard Attenborough, Producer",77737889,22000000,191,7.5,1040,9.015,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1982,55,Best Picture,0,Missing ,"Edward Lewis and Mildred Lewis, Producers",14000000,0,122,7.4,117,6.789,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1982,55,Best Picture,0,Tootsie ,"Sydney Pollack and Dick Richards, Producers",177200000,21000000,116,7.1,678,8.191,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
1982,55,Best Picture,0,The Verdict ,"Richard D. Zanuck and David Brown, Producers",53977250,16000000,129,7.5,198,7.129,"[{'id': 18, 'name': 'Drama'}]"
1983,56,Best Picture,0,The Big Chill ,"Michael Shamberg, Producer",0,0,105,7.1,199,7.006,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1983,56,Best Picture,0,The Dresser ,"Peter Yates, Producer",0,0,118,6.6,20,1.237,"[{'id': 18, 'name': 'Drama'}]"
1983,56,Best Picture,0,The Right Stuff ,"Irwin Winkler and Robert Chartoff, Producers",21500000,27000000,193,7.5,336,7.729,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1983,56,Best Picture,0,Tender Mercies ,"Philip S. Hobel, Producer",0,0,92,6.7,32,3.53,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
1983,56,Best Picture,1,Terms of Endearment ,"James L. Brooks, Producer",0,8000000,132,7.2,286,9.508,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1984,57,Best Picture,1,Amadeus ,"Saul Zaentz, Producer",51973029,18000000,160,8,1769,10.185,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]"
1984,57,Best Picture,0,The Killing Fields ,"David Puttnam, Producer",34700291,14400000,141,7.6,251,6.95,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
1984,57,Best Picture,0,A Passage to India ,"John Brabourne and Richard Goodwin, Producers",27187653,8000000,163,6.9,104,5.437,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]"
1984,57,Best Picture,0,Places in the Heart ,"Arlene Donovan, Producer",0,0,111,7.3,45,4.356,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
