Title,Best Picture,Prod Company,Year,imdbRating,Popularity,Rated_APPROVED,Rated_G,Rated_PG,Rated_PG-13,Rated_R,Rated_UNRATED,Release_Date_01,Release_Date_02,Release_Date_03,Release_Date_04,Release_Date_05,Release_Date_06,Release_Date_07,Release_Date_08,Release_Date_09,Release_Date_10,Release_Date_11,Release_Date_12,Revenue,Budget,Runtime,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Short,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Best Actor,Best Actress,Best Director,Best Supporting Actor,Best Supporting Actress
Double Indemnity,0,Paramount,1944,8.3,11.853,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2500000,927262,107,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Gaslight,0,Metro-Goldwyn-Mayer,1944,7.8,6.867999999999999,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2068000,114,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0
Going My Way,1,Paramount,1944,7.2,3.592,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16300000,0,130,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0
Since You Went Away,0,Selznick International Pictures,1944,7.6,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Wilson,0,20th Century-Fox,1944,5.8,0.7709999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2000000,2995000,154,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Anchors Aweigh,0,Metro-Goldwyn-Mayer,1945,7.2,4.672,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Bells of St. Mary's,0,Rainbow Productions,1945,7.4,2.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21300000,0,126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Lost Weekend,1,Paramount,1945,8.0,5.871,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11000000,1250000,101,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0
Mildred Pierce,0,Warner Brothers,1945,8.0,6.6370000000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5638000,1453000,111,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
Spellbound,0,Selznick International Pictures,1945,7.6,8.192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7000000,1500000,111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
The Best Years of Our Lives,1,Samuel Goldwyn Productions,1946,8.1,9.802999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23650000,2100000,172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,1.0,1.0,0.0
Henry V,0,J. Arthur Rank-Two Cities Films,1946,7.7,2.351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
It's a Wonderful Life,0,Liberty Films,1946,8.6,36.346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9644124,3180000,130,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Razor's Edge,0,20th Century-Fox,1946,7.5,3.3289999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
The Yearling,0,Metro-Goldwyn-Mayer,1946,7.3,2.116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,128,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
The Bishop's Wife,0,Samuel Goldwyn Productions,1947,7.6,5.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Crossfire,0,RKO Radio,1947,7.4,2.898,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1300000,250000,86,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gentleman's Agreement,1,20th Century-Fox,1947,7.4,4.337,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7800000,2000000,118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0
Great Expectations,0,J. Arthur Rank-Cineguild,1947,6.8,6.693,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Miracle on 34th Street,0,20th Century-Fox,1947,7.9,23.002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0
Hamlet,1,J. Arthur Rank-Two Cities Films,1948,7.8,4.4239999999999995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,750000,155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Johnny Belinda,0,Warner Brothers,1948,7.8,1.675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
The Red Shoes,0,J. Arthur Rank-Archers,1948,8.3,6.33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,500000,133,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Snake Pit,0,20th Century-Fox,1948,7.7,2.6180000000000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Treasure of the Sierra Madre,0,Warner Brothers,1948,8.3,11.654000000000002,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4307000,3800000,126,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0
All the King's Men,1,Robert Rossen Productions,1949,6.2,5.468999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0
Battleground,0,Metro-Goldwyn-Mayer,1949,7.5,4.008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
The Heiress,0,Paramount,1949,8.2,4.361000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2600000,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
A Letter to Three Wives,0,20th Century-Fox,1949,7.8,3.031,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0
Twelve O'Clock High,0,20th Century-Fox,1949,7.8,2.7289999999999996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3225000,0,132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
All about Eve,1,20th Century-Fox,1950,8.3,10.221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,63463,1400000,139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0
Born Yesterday,0,Columbia,1950,7.6,4.151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
Father of the Bride,0,Metro-Goldwyn-Mayer,1950,6.5,5.957999999999999,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
King Solomon's Mines,0,Metro-Goldwyn-Mayer,1950,6.3,2.918,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Sunset Blvd.,0,Paramount,1950,5.2,15.427999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5000000,1752000,110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
An American in Paris,1,"Arthur Freed, Producer",1951,7.2,8.442,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4500000,2723903,113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Decision before Dawn,0,"Anatole Litvak and Frank McCarthy, Producers",1951,7.4,1.161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
A Place in the Sun,0,"George Stevens, Producer",1951,7.8,6.609,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0
Quo Vadis,0,"Sam Zimbalist, Producer",1951,7.2,8.102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30000000,8250000,171,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
A Streetcar Named Desire,0,"Charles K. Feldman, Producer",1951,8.0,10.414000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8000000,1800000,125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0
The Greatest Show on Earth,1,"Cecil B. DeMille, Producer",1952,6.7,5.09,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36000000,4000000,152,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
High Noon,0,"Stanley Kramer, Producer",1952,8.0,8.329,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8000000,730000,85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0
Ivanhoe,0,"Pandro S. Berman, Producer",1952,6.8,5.611000000000001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Moulin Rouge 1952,0,Romulus Films,1952,7.1,1.858,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1500000,119,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Quiet Man,0,"John Ford and Merian C. Cooper, Producers",1952,7.8,5.737,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0
From Here to Eternity,1,"Buddy Adler, Producer",1953,7.7,7.745,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30500000,1650000,118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1.0,1.0,1.0
Julius Caesar,0,"John Houseman, Producer",1953,7.4,2.917,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Robe,0,"Frank Ross, Producer",1953,6.8,4.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,36000000,4100000,135,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Roman Holiday,0,"William Wyler, Producer",1953,8.1,12.947000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12000000,1500000,119,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
Shane,0,"George Stevens, Producer",1953,7.7,6.8660000000000005,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,20000000,3100000,118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
The Caine Mutiny,0,"Stanley Kramer, Producer",1954,7.8,5.955,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21750000,2000000,124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
The Country Girl,0,"William Perlberg, Producer",1954,7.3,4.369,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
On the Waterfront,1,"Sam Spiegel, Producer",1954,8.2,7.903,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9600000,910000,108,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,1.0,0.0,1.0
Seven Brides for Seven Brothers,0,"Jack Cummings, Producer",1954,7.4,7.465,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5000000,0,102,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
Three Coins in the Fountain,0,"Sol C. Siegel, Producer",1954,6.3,1.5230000000000001,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Love Is a Many-Splendored Thing,0,"Buddy Adler, Producer",1955,6.6,1.621,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,102,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Marty,1,"Harold Hecht, Producer",1955,7.7,5.377999999999999,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3000000,343000,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0
Mister Roberts,0,"Leland Hayward, Producer",1955,7.8,3.341,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,123,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
Picnic,0,"Fred Kohlmar, Producer",1955,7.2,3.1839999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Rose Tattoo,0,"Hal B. Wallis, Producer",1955,7.2,1.0659999999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,117,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
Around the World in 80 Days,1,"Michael Todd, Producer",1956,5.8,7.311,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42000000,6000000,167,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
Friendly Persuasion,0,"William Wyler, Producer",1956,7.4,1.865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Giant,0,"George Stevens and Henry Ginsberg, Producers",1956,7.7,5.522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35000000,5400000,201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0
The King and I,0,"Charles Brackett, Producer",1956,7.5,7.106,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21300000,4550000,133,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
The Ten Commandments,0,"Cecil B. DeMille, Producer",1956,7.9,11.599,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122700000,13000000,220,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Bridge on the River Kwai,1,"Sam Spiegel, Producer",1957,8.2,13.093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27200000,3000000,161,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0
Peyton Place,0,"Jerry Wald, Producer",1957,7.2,2.937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sayonara,0,"William Goetz, Producer",1957,7.2,4.331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0
12 Angry Men,0,"Henry Fonda and Reginald Rose, Producers",1957,8.9,17.512999999999998,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000000,350000,97,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Witness for the Prosecution,0,"Arthur Hornblow, Jr., Producer",1957,8.4,8.516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9000000,3000000,116,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Auntie Mame,0,Warner Brothers,1958,8.0,2.425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,143,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cat on a Hot Tin Roof,0,"Lawrence Weingarten, Producer",1958,8.1,9.118,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17570324,3000000,108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Defiant Ones,0,"Stanley Kramer, Producer",1958,7.7,4.789,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gigi,1,"Arthur Freed, Producer",1958,6.8,6.114,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3319355,116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0
Separate Tables,0,"Harold Hecht, Producer",1958,7.5,3.326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
Anatomy of a Murder,0,"Otto Preminger, Producer",1959,8.1,7.494,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,160,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Ben-Hur,1,"Sam Zimbalist, Producer",1959,8.1,14.934000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,146900000,15000000,212,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0
The Diary of Anne Frank,0,"George Stevens, Producer",1959,7.4,7.831,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3000000,180,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0
The Nun's Story,0,"Henry Blanke, Producer",1959,7.6,4.297,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12800000,3500000,149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Room at the Top,0,"John Woolf and James Woolf, Producers",1959,7.7,3.977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
The Alamo,0,"John Wayne, Producer",1960,6.0,7.313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7900000,12000000,167,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
